x_mm,y_mm,z_mm
20.000,388.678,314.531
20.000,382.307,322.245
20.000,375.782,329.830
20.000,369.108,337.283
20.000,362.285,344.600
20.000,355.318,351.780
20.000,348.208,358.819
20.000,340.959,365.715
20.000,333.573,372.464
20.000,326.053,379.064
20.000,318.404,385.512
20.000,310.626,391.805
20.000,302.724,397.942
20.000,294.701,403.920
20.000,286.561,409.735
20.000,278.305,415.387
20.000,269.938,420.872
20.000,261.463,426.189
20.000,252.883,431.336
20.000,244.201,436.309
20.000,235.423,441.108
20.000,226.549,445.730
20.000,217.586,450.174
20.000,208.535,454.437
20.000,199.400,458.519
20.000,190.186,462.417
20.000,180.895,466.130
20.000,171.532,469.656
20.000,162.101,472.994
20.000,152.604,476.143
20.000,143.047,479.101
20.000,133.432,481.867
20.000,123.763,484.441
20.000,114.046,486.820
20.000,104.282,489.004
20.000,94.477,490.993
20.000,84.634,492.785
20.000,74.757,494.380
20.000,64.850,495.777
20.000,54.917,496.975
20.000,44.962,497.974
20.000,34.989,498.774
20.000,25.002,499.374
20.000,15.005,499.775
20.000,5.002,499.975
20.000,-5.002,499.975
20.000,-15.005,499.775
20.000,-25.002,499.374
20.000,-34.989,498.774
20.000,-44.962,497.974
20.000,-54.917,496.975
20.000,-64.850,495.777
20.000,-74.757,494.380
20.000,-84.634,492.785
20.000,-94.477,490.993
20.000,-104.282,489.004
20.000,-114.046,486.820
20.000,-123.763,484.441
20.000,-133.432,481.867
20.000,-143.047,479.101
20.000,-152.604,476.143
20.000,-162.101,472.994
20.000,-171.532,469.656
20.000,-180.895,466.130
20.000,-190.186,462.417
20.000,-199.400,458.519
20.000,-208.535,454.437
20.000,-217.586,450.174
20.000,-226.549,445.730
20.000,-235.423,441.108
20.000,-244.201,436.309
20.000,-252.883,431.336
20.000,-261.463,426.189
20.000,-269.938,420.872
20.000,-278.305,415.387
20.000,-286.561,409.735
20.000,-294.701,403.920
20.000,-302.724,397.942
20.000,-310.626,391.805
20.000,-318.404,385.512
20.000,-326.053,379.064
20.000,-333.573,372.464
20.000,-340.959,365.715
20.000,-348.208,358.819
20.000,-355.318,351.780
20.000,-362.285,344.600
20.000,-369.108,337.283
20.000,-375.782,329.830
20.000,-382.307,322.245
20.000,-388.678,314.531
20.000,-394.893,306.691
20.000,-400.951,298.728
20.000,-406.848,290.646
20.000,-412.582,282.447
20.000,-418.151,274.135
20.000,-423.552,265.713
20.000,-428.784,257.185
20.000,-433.844,248.555
20.000,-438.730,239.824
20.000,-443.441,230.998
20.000,-447.974,222.079
20.000,-452.328,213.071
20.000,-456.501,203.977
20.000,-460.491,194.803
20.000,-464.297,185.550
20.000,-467.916,176.223
20.000,-471.349,166.825
20.000,-474.592,157.360
20.000,-477.646,147.833
20.000,-480.508,138.246
20.000,-483.178,128.604
20.000,-485.655,118.910
20.000,-487.937,109.169
20.000,-490.023,99.384
20.000,-491.914,89.560
20.000,-493.607,79.699
20.000,-495.103,69.807
20.000,-496.401,59.886
20.000,-497.500,49.942
20.000,-498.399,39.978
20.000,-499.099,29.997
20.000,-499.600,20.005
20.000,-499.900,10.004
20.000,-500.000,0.000
30.000,500.000,0.000
30.000,499.900,10.004
30.000,499.600,20.005
30.000,499.099,29.997
30.000,498.399,39.978
30.000,497.500,49.942
30.000,496.401,59.886
30.000,495.103,69.807
30.000,493.607,79.699
30.000,491.914,89.560
30.000,490.023,99.384
30.000,487.937,109.169
30.000,485.655,118.910
30.000,483.178,128.604
30.000,480.508,138.246
30.000,477.646,147.833
30.000,474.592,157.360
30.000,471.349,166.825
30.000,467.916,176.223
30.000,464.297,185.550
30.000,460.491,194.803
30.000,456.501,203.977
30.000,452.328,213.071
30.000,447.974,222.079
30.000,443.441,230.998
30.000,438.730,239.824
30.000,433.844,248.555
30.000,428.784,257.185
30.000,423.552,265.713
30.000,418.151,274.135
30.000,412.582,282.447
30.000,406.848,290.646
30.000,400.951,298.728
30.000,394.893,306.691
30.000,388.678,314.531
30.000,382.307,322.245
30.000,375.782,329.830
30.000,369.108,337.283
30.000,362.285,344.600
30.000,355.318,351.780
30.000,348.208,358.819
30.000,340.959,365.715
30.000,333.573,372.464
30.000,326.053,379.064
30.000,318.404,385.512
30.000,310.626,391.805
30.000,302.724,397.942
30.000,294.701,403.920
30.000,286.561,409.735
30.000,278.305,415.387
30.000,269.938,420.872
30.000,261.463,426.189
30.000,252.883,431.336
30.000,244.201,436.309
30.000,235.423,441.108
30.000,226.549,445.730
30.000,217.586,450.174
30.000,208.535,454.437
30.000,199.400,458.519
30.000,190.186,462.417
30.000,180.895,466.130
30.000,171.532,469.656
30.000,162.101,472.994
30.000,152.604,476.143
30.000,143.047,479.101
30.000,133.432,481.867
30.000,123.763,484.441
30.000,114.046,486.820
30.000,104.282,489.004
30.000,94.477,490.993
30.000,84.634,492.785
30.000,74.757,494.380
30.000,64.850,495.777
30.000,54.917,496.975
30.000,44.962,497.974
30.000,34.989,498.774
30.000,25.002,499.374
30.000,15.005,499.775
30.000,5.002,499.975
30.000,-5.002,499.975
30.000,-15.005,499.775
30.000,-25.002,499.374
30.000,-34.989,498.774
30.000,-44.962,497.974
30.000,-54.917,496.975
30.000,-64.850,495.777
30.000,-74.757,494.380
30.000,-84.634,492.785
30.000,-94.477,490.993
30.000,-104.282,489.004
30.000,-114.046,486.820
30.000,-123.763,484.441
30.000,-133.432,481.867
30.000,-143.047,479.101
30.000,-152.604,476.143
30.000,-162.101,472.994
30.000,-171.532,469.656
30.000,-180.895,466.130
30.000,-190.186,462.417
30.000,-199.400,458.519
30.000,-208.535,454.437
30.000,-217.586,450.174
30.000,-226.549,445.730
30.000,-235.423,441.108
30.000,-244.201,436.309
30.000,-252.883,431.336
30.000,-261.463,426.189
30.000,-269.938,420.872
30.000,-278.305,415.387
30.000,-286.561,409.735
30.000,-294.701,403.920
30.000,-302.724,397.942
30.000,-310.626,391.805
30.000,-318.404,385.512
30.000,-326.053,379.064
30.000,-333.573,372.464
30.000,-340.959,365.715
30.000,-348.208,358.819
30.000,-355.318,351.780
30.000,-362.285,344.600
30.000,-369.108,337.283
30.000,-375.782,329.830
30.000,-382.307,322.245
30.000,-388.678,314.531
30.000,-394.893,306.691
30.000,-400.951,298.728
30.000,-406.848,290.646
30.000,-412.582,282.447
30.000,-418.151,274.135
30.000,-423.552,265.713
30.000,-428.784,257.185
30.000,-433.844,248.555
30.000,-438.730,239.824
30.000,-443.441,230.998
30.000,-447.974,222.079
30.000,-452.328,213.071
30.000,-456.501,203.977
30.000,-460.491,194.803
30.000,-464.297,185.550
30.000,-467.916,176.223
30.000,-471.349,166.825
30.000,-474.592,157.360
30.000,-477.646,147.833
30.000,-480.508,138.246
30.000,-483.178,128.604
30.000,-485.655,118.910
30.000,-487.937,109.169
30.000,-490.023,99.384
30.000,-491.914,89.560
30.000,-493.607,79.699
30.000,-495.103,69.807
30.000,-496.401,59.886
30.000,-497.500,49.942
30.000,-498.399,39.978
30.000,-499.099,29.997
30.000,-499.600,20.005
30.000,-499.900,10.004
30.000,-500.000,0.000
40.000,500.000,0.000
40.000,499.900,10.004
40.000,499.600,20.005
40.000,499.099,29.997
40.000,498.399,39.978
40.000,497.500,49.942
40.000,496.401,59.886
40.000,495.103,69.807
40.000,493.607,79.699
40.000,491.914,89.560
40.000,490.023,99.384
40.000,487.937,109.169
40.000,485.655,118.910
40.000,483.178,128.604
40.000,480.508,138.246
40.000,477.646,147.833
40.000,474.592,157.360
40.000,471.349,166.825
40.000,467.916,176.223
40.000,464.297,185.550
40.000,460.491,194.803
40.000,456.501,203.977
40.000,452.328,213.071
40.000,447.974,222.079
40.000,443.441,230.998
40.000,438.730,239.824
40.000,433.844,248.555
40.000,428.784,257.185
40.000,423.552,265.713
40.000,418.151,274.135
40.000,412.582,282.447
40.000,406.848,290.646
40.000,400.951,298.728
40.000,394.893,306.691
40.000,388.678,314.531
40.000,382.307,322.245
40.000,375.782,329.830
40.000,369.108,337.283
40.000,362.285,344.600
40.000,355.318,351.780
40.000,348.208,358.819
40.000,340.959,365.715
40.000,333.573,372.464
40.000,326.053,379.064
40.000,318.404,385.512
40.000,310.626,391.805
40.000,302.724,397.942
40.000,294.701,403.920
40.000,286.561,409.735
40.000,278.305,415.387
40.000,269.938,420.872
40.000,261.463,426.189
40.000,252.883,431.336
40.000,244.201,436.309
40.000,235.423,441.108
40.000,226.549,445.730
40.000,217.586,450.174
40.000,208.535,454.437
40.000,199.400,458.519
40.000,190.186,462.417
40.000,180.895,466.130
40.000,171.532,469.656
40.000,162.101,472.994
40.000,152.604,476.143
40.000,143.047,479.101
40.000,133.432,481.867
40.000,123.763,484.441
40.000,114.046,486.820
40.000,104.282,489.004
40.000,94.477,490.993
40.000,84.634,492.785
40.000,74.757,494.380
40.000,64.850,495.777
40.000,54.917,496.975
40.000,44.962,497.974
40.000,34.989,498.774
40.000,25.002,499.374
40.000,15.005,499.775
40.000,5.002,499.975
40.000,-5.002,499.975
40.000,-15.005,499.775
40.000,-25.002,499.374
40.000,-34.989,498.774
40.000,-44.962,497.974
40.000,-54.917,496.975
40.000,-64.850,495.777
40.000,-74.757,494.380
40.000,-84.634,492.785
40.000,-94.477,490.993
40.000,-104.282,489.004
40.000,-114.046,486.820
40.000,-123.763,484.441
40.000,-133.432,481.867
40.000,-143.047,479.101
40.000,-152.604,476.143
40.000,-162.101,472.994
40.000,-171.532,469.656
40.000,-180.895,466.130
40.000,-190.186,462.417
40.000,-199.400,458.519
40.000,-208.535,454.437
40.000,-217.586,450.174
40.000,-226.549,445.730
40.000,-235.423,441.108
40.000,-244.201,436.309
40.000,-252.883,431.336
40.000,-261.463,426.189
40.000,-269.938,420.872
40.000,-278.305,415.387
40.000,-286.561,409.735
40.000,-294.701,403.920
40.000,-302.724,397.942
40.000,-310.626,391.805
40.000,-318.404,385.512
40.000,-326.053,379.064
40.000,-333.573,372.464
40.000,-340.959,365.715
40.000,-348.208,358.819
40.000,-355.318,351.780
40.000,-362.285,344.600
40.000,-369.108,337.283
40.000,-375.782,329.830
40.000,-382.307,322.245
40.000,-388.678,314.531
40.000,-394.893,306.691
40.000,-400.951,298.728
40.000,-406.848,290.646
40.000,-412.582,282.447
40.000,-418.151,274.135
40.000,-423.552,265.713
40.000,-428.784,257.185
40.000,-433.844,248.555
40.000,-438.730,239.824
40.000,-443.441,230.998
40.000,-447.974,222.079
40.000,-452.328,213.071
40.000,-456.501,203.977
40.000,-460.491,194.803
40.000,-464.297,185.550
40.000,-467.916,176.223
40.000,-471.349,166.825
40.000,-474.592,157.360
40.000,-477.646,147.833
40.000,-480.508,138.246
40.000,-483.178,128.604
40.000,-485.655,118.910
40.000,-487.937,109.169
40.000,-490.023,99.384
40.000,-491.914,89.560
40.000,-493.607,79.699
40.000,-495.103,69.807
40.000,-496.401,59.886
40.000,-497.500,49.942
40.000,-498.399,39.978
40.000,-499.099,29.997
40.000,-499.600,20.005
40.000,-499.900,10.004
40.000,-500.000,0.000
50.000,500.000,0.000
50.000,499.900,10.004
50.000,499.600,20.005
50.000,499.099,29.997
50.000,498.399,39.978
50.000,497.500,49.942
50.000,496.401,59.886
50.000,495.103,69.807
50.000,493.607,79.699
50.000,491.914,89.560
50.000,490.023,99.384
50.000,487.937,109.169
50.000,485.655,118.910
50.000,483.178,128.604
50.000,480.508,138.246
50.000,477.646,147.833
50.000,474.592,157.360
50.000,471.349,166.825
50.000,467.916,176.223
50.000,464.297,185.550
50.000,460.491,194.803
50.000,456.501,203.977
50.000,452.328,213.071
50.000,447.974,222.079
50.000,443.441,230.998
50.000,438.730,239.824
50.000,433.844,248.555
50.000,428.784,257.185
50.000,423.552,265.713
50.000,418.151,274.135
50.000,412.582,282.447
50.000,406.848,290.646
50.000,400.951,298.728
50.000,394.893,306.691
50.000,388.678,314.531
50.000,382.307,322.245
50.000,375.782,329.830
50.000,369.108,337.283
50.000,362.285,344.600
50.000,355.318,351.780
50.000,348.208,358.819
50.000,340.959,365.715
50.000,333.573,372.464
50.000,326.053,379.064
50.000,318.404,385.512
50.000,310.626,391.805
50.000,302.724,397.942
50.000,294.701,403.920
50.000,286.561,409.735
50.000,278.305,415.387
50.000,269.938,420.872
50.000,261.463,426.189
50.000,252.883,431.336
50.000,244.201,436.309
50.000,235.423,441.108
50.000,226.549,445.730
50.000,217.586,450.174
50.000,208.535,454.437
50.000,199.400,458.519
50.000,190.186,462.417
50.000,180.895,466.130
50.000,171.532,469.656
50.000,162.101,472.994
50.000,152.604,476.143
50.000,143.047,479.101
50.000,133.432,481.867
50.000,123.763,484.441
50.000,114.046,486.820
50.000,104.282,489.004
50.000,94.477,490.993
50.000,84.634,492.785
50.000,74.757,494.380
50.000,64.850,495.777
50.000,54.917,496.975
50.000,44.962,497.974
50.000,34.989,498.774
50.000,25.002,499.374
50.000,15.005,499.775
50.000,5.002,499.975
50.000,-5.002,499.975
50.000,-15.005,499.775
50.000,-25.002,499.374
50.000,-34.989,498.774
50.000,-44.962,497.974
50.000,-54.917,496.975
50.000,-64.850,495.777
50.000,-74.757,494.380
50.000,-84.634,492.785
50.000,-94.477,490.993
50.000,-104.282,489.004
50.000,-114.046,486.820
50.000,-123.763,484.441
50.000,-133.432,481.867
50.000,-143.047,479.101
50.000,-152.604,476.143
50.000,-162.101,472.994
50.000,-171.532,469.656
50.000,-180.895,466.130
50.000,-190.186,462.417
50.000,-199.400,458.519
50.000,-208.535,454.437
50.000,-217.586,450.174
50.000,-226.549,445.730
50.000,-235.423,441.108
50.000,-244.201,436.309
50.000,-252.883,431.336
50.000,-261.463,426.189
50.000,-269.938,420.872
50.000,-278.305,415.387
50.000,-286.561,409.735
50.000,-294.701,403.920
50.000,-302.724,397.942
50.000,-310.626,391.805
50.000,-318.404,385.512
50.000,-326.053,379.064
50.000,-333.573,372.464
50.000,-340.959,365.715
50.000,-348.208,358.819
50.000,-355.318,351.780
50.000,-362.285,344.600
50.000,-369.108,337.283
50.000,-375.782,329.830
50.000,-382.307,322.245
50.000,-388.678,314.531
50.000,-394.893,306.691
50.000,-400.951,298.728
50.000,-406.848,290.646
50.000,-412.582,282.447
50.000,-418.151,274.135
50.000,-423.552,265.713
50.000,-428.784,257.185
50.000,-433.844,248.555
50.000,-438.730,239.824
50.000,-443.441,230.998
50.000,-447.974,222.079
50.000,-452.328,213.071
50.000,-456.501,203.977
50.000,-460.491,194.803
50.000,-464.297,185.550
50.000,-467.916,176.223
50.000,-471.349,166.825
50.000,-474.592,157.360
50.000,-477.646,147.833
50.000,-480.508,138.246
50.000,-483.178,128.604
50.000,-485.655,118.910
50.000,-487.937,109.169
50.000,-490.023,99.384
50.000,-491.914,89.560
50.000,-493.607,79.699
50.000,-495.103,69.807
50.000,-496.401,59.886
50.000,-497.500,49.942
50.000,-498.399,39.978
50.000,-499.099,29.997
50.000,-499.600,20.005
50.000,-499.900,10.004
50.000,-500.000,0.000
60.000,500.000,0.000
60.000,499.900,10.004
60.000,499.600,20.005
60.000,499.099,29.997
60.000,498.399,39.978
60.000,497.500,49.942
60.000,496.401,59.886
60.000,495.103,69.807
60.000,493.607,79.699
60.000,491.914,89.560
60.000,490.023,99.384
60.000,487.937,109.169
60.000,485.655,118.910
60.000,483.178,128.604
60.000,480.508,138.246
60.000,477.646,147.833
60.000,474.592,157.360
60.000,471.349,166.825
60.000,467.916,176.223
60.000,464.297,185.550
60.000,460.491,194.803
60.000,456.501,203.977
60.000,452.328,213.071
60.000,447.974,222.079
60.000,443.441,230.998
60.000,438.730,239.824
60.000,433.844,248.555
60.000,428.784,257.185
60.000,423.552,265.713
60.000,418.151,274.135
60.000,412.582,282.447
60.000,406.848,290.646
60.000,400.951,298.728
60.000,394.893,306.691
60.000,388.678,314.531
60.000,382.307,322.245
60.000,375.782,329.830
60.000,369.108,337.283
60.000,362.285,344.600
60.000,355.318,351.780
60.000,348.208,358.819
60.000,340.959,365.715
60.000,333.573,372.464
60.000,326.053,379.064
60.000,318.404,385.512
60.000,310.626,391.805
60.000,302.724,397.942
60.000,294.701,403.920
60.000,286.561,409.735
60.000,278.305,415.387
60.000,269.938,420.872
60.000,261.463,426.189
60.000,252.883,431.336
60.000,244.201,436.309
60.000,235.423,441.108
60.000,226.549,445.730
60.000,217.586,450.174
60.000,208.535,454.437
60.000,199.400,458.519
60.000,190.186,462.417
60.000,180.895,466.130
60.000,171.532,469.656
60.000,162.101,472.994
60.000,152.604,476.143
60.000,143.047,479.101
60.000,133.432,481.867
60.000,123.763,484.441
60.000,114.046,486.820
60.000,104.282,489.004
60.000,94.477,490.993
60.000,84.634,492.785
60.000,74.757,494.380
60.000,64.850,495.777
60.000,54.917,496.975
60.000,44.962,497.974
60.000,34.989,498.774
60.000,25.002,499.374
60.000,15.005,499.775
60.000,5.002,499.975
60.000,-5.002,499.975
60.000,-15.005,499.775
60.000,-25.002,499.374
60.000,-34.989,498.774
60.000,-44.962,497.974
60.000,-54.917,496.975
60.000,-64.850,495.777
60.000,-74.757,494.380
60.000,-84.634,492.785
60.000,-94.477,490.993
60.000,-104.282,489.004
60.000,-114.046,486.820
60.000,-123.763,484.441
60.000,-133.432,481.867
60.000,-143.047,479.101
60.000,-152.604,476.143
60.000,-162.101,472.994
60.000,-171.532,469.656
60.000,-180.895,466.130
60.000,-190.186,462.417
60.000,-199.400,458.519
60.000,-208.535,454.437
60.000,-217.586,450.174
60.000,-226.549,445.730
60.000,-235.423,441.108
60.000,-244.201,436.309
60.000,-252.883,431.336
60.000,-261.463,426.189
60.000,-269.938,420.872
60.000,-278.305,415.387
60.000,-286.561,409.735
60.000,-294.701,403.920
60.000,-302.724,397.942
60.000,-310.626,391.805
60.000,-318.404,385.512
60.000,-326.053,379.064
60.000,-333.573,372.464
60.000,-340.959,365.715
60.000,-348.208,358.819
60.000,-355.318,351.780
60.000,-362.285,344.600
60.000,-369.108,337.283
60.000,-375.782,329.830
60.000,-382.307,322.245
60.000,-388.678,314.531
60.000,-394.893,306.691
60.000,-400.951,298.728
60.000,-406.848,290.646
60.000,-412.582,282.447
60.000,-418.151,274.135
60.000,-423.552,265.713
60.000,-428.784,257.185
60.000,-433.844,248.555
60.000,-438.730,239.824
60.000,-443.441,230.998
60.000,-447.974,222.079
60.000,-452.328,213.071
60.000,-456.501,203.977
60.000,-460.491,194.803
60.000,-464.297,185.550
60.000,-467.916,176.223
60.000,-471.349,166.825
60.000,-474.592,157.360
60.000,-477.646,147.833
60.000,-480.508,138.246
60.000,-483.178,128.604
60.000,-485.655,118.910
60.000,-487.937,109.169
60.000,-490.023,99.384
60.000,-491.914,89.560
60.000,-493.607,79.699
60.000,-495.103,69.807
60.000,-496.401,59.886
60.000,-497.500,49.942
60.000,-498.399,39.978
60.000,-499.099,29.997
60.000,-499.600,20.005
60.000,-499.900,10.004
60.000,-500.000,0.000
70.000,500.000,0.000
70.000,499.900,10.004
70.000,499.600,20.005
70.000,499.099,29.997
70.000,498.399,39.978
70.000,497.500,49.942
70.000,496.401,59.886
70.000,495.103,69.807
70.000,493.607,79.699
70.000,491.914,89.560
70.000,490.023,99.384
70.000,487.937,109.169
